City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,chu,43.5983,73.7614,289.69,50,100,4.78,KZ,1698534948
201,ocsa,47.2999,19.2306,282.53,93,75,1.54,HU,1698534951
202,anapa,44.8908,37.3239,285.34,100,20,2.0,RU,1698534953
203,beloyarskiy,63.7119,66.6722,262.04,94,42,1.34,RU,1698534955
204,vadso,70.0744,29.7487,271.24,80,100,2.57,NO,1698534957
205,gargalianoi,37.0667,21.6333,292.79,87,100,3.11,GR,1698534959
206,tefenni,37.3097,29.7754,286.44,72,75,0.82,TR,1698534961
207,klyuchi,52.2667,79.1667,272.05,51,100,4.81,RU,1698534964
208,puerto deseado,-47.7503,-65.8938,287.16,22,83,11.64,AR,1698534966
209,nigde,37.8333,34.75,285.53,53,24,2.03,TR,1698534968
210,hermanus,-34.4187,19.2345,286.94,53,29,9.09,ZA,1698534970
211,moyale,3.5167,39.0584,293.95,76,100,2.66,KE,1698534972
212,korocha,50.8107,37.1953,282.55,86,100,10.0,RU,1698534974
213,chonchi,-42.6128,-73.8092,279.71,89,87,5.64,CL,1698534977
214,timmins,48.4669,-81.3331,272.05,69,75,2.06,CA,1698534862
215,sassandra,4.95,-6.0833,298.27,91,3,1.88,CI,1698534981
216,wewak,-3.5534,143.6268,300.17,84,100,2.65,PG,1698534983
217,lompoc,34.6391,-120.4579,295.81,68,0,10.73,US,1698534754
218,baki,-7.6128,110.7839,297.96,78,50,3.26,ID,1698534987
219,hilo,19.7297,-155.09,302.0,71,40,3.09,US,1698534884
220,goroka,-6.0834,145.3873,294.77,74,55,1.42,PG,1698534992
221,shalqar,47.8333,59.6,285.0,98,100,4.47,KZ,1698534994
222,boguchany,58.3814,97.4531,268.63,63,97,4.92,RU,1698534996
223,cacapava do sul,-30.5122,-53.4914,290.71,98,100,1.64,BR,1698534998
224,vershino-darasunskiy,52.35,115.5167,267.9,33,69,6.17,RU,1698535000
225,am timan,11.0297,20.2827,298.86,65,95,2.72,TD,1698535002
226,steinbach,50.1667,8.5667,285.39,93,0,3.09,DE,1698535004
227,port lincoln,-34.7333,135.8667,286.79,59,16,3.66,AU,1698534761
228,aguazul,5.1728,-72.5471,297.45,92,99,2.89,CO,1698535009
229,okhotsk,59.3833,143.3,269.04,83,99,5.26,RU,1698535011
230,uturoa,-16.7333,-151.4333,299.54,76,98,5.58,PF,1698535013
231,la ronge,55.1001,-105.2842,268.29,80,75,3.09,CA,1698535015
232,gemena,3.25,19.7667,294.43,95,70,0.47,CD,1698535017
233,guerrero negro,27.9769,-114.0611,294.02,64,0,8.12,MX,1698535023
234,tieli,46.95,128.05,275.16,48,29,2.23,CN,1698535025
235,la jolla,32.8473,-117.2742,296.84,71,0,4.12,US,1698534979
236,saipan,15.1355,145.701,302.54,89,40,3.6,MP,1698535029
237,sao fidelis,-21.6461,-41.7469,298.12,97,83,1.17,BR,1698535031
238,praia da vitoria,38.7333,-27.0667,290.29,63,40,9.03,PT,1698535033
239,castanos,26.7833,-101.4167,302.55,48,20,0.0,MX,1698535036
240,san luis de la loma,17.2706,-100.8939,301.12,82,100,2.07,MX,1698535038
241,inhambane,-23.865,35.3833,294.58,82,21,2.22,MZ,1698535040
242,valdivia,-39.8142,-73.2459,279.28,94,96,5.12,CL,1698534797
243,sao gabriel da cachoeira,-0.1303,-67.0892,299.65,82,100,1.13,BR,1698534965
244,tuttle,35.2909,-97.8123,279.86,92,100,6.1,US,1698534778
245,ambalangoda,6.2355,80.0538,298.03,89,100,1.76,LK,1698535048
246,jizzax,40.1158,67.8422,293.31,32,96,1.75,UZ,1698535050
247,gondar,12.6,37.4667,286.1,88,92,1.96,ET,1698535053
248,inongo,-1.95,18.2667,296.92,83,74,1.07,CD,1698535055
249,lijiang,26.8688,100.2207,278.93,74,0,1.56,CN,1698535057
250,camapua,-19.5314,-54.0439,302.49,50,61,5.48,BR,1698535059
251,bulawayo,-20.15,28.5833,295.8,25,15,2.99,ZW,1698535062
252,goondiwindi,-28.55,150.3167,294.08,39,0,4.57,AU,1698535064
253,copan,14.8333,-89.15,302.42,90,43,1.52,HN,1698535066
254,yilan,24.757,121.753,297.05,94,100,0.53,TW,1698535070
255,happy valley-goose bay,53.3168,-60.3315,276.32,93,100,2.57,CA,1698535072
256,san andres,12.5847,-81.7006,302.16,79,40,3.09,CO,1698534945
257,praia,14.9215,-23.5087,299.45,73,40,1.54,CV,1698535077
258,holualoa,19.6228,-155.9522,301.41,74,40,4.63,US,1698535079
259,east london,-33.0153,27.9116,287.08,64,100,7.84,ZA,1698535081
260,puerto leguizamo,-0.1934,-74.7819,301.2,71,100,1.23,CO,1698535083
261,adra,36.7496,-3.0206,291.4,73,0,3.01,ES,1698535085
262,osorio,-29.8867,-50.2697,293.85,90,100,1.06,BR,1698535090
263,alaghsas,17.0187,8.0168,300.2,12,68,3.63,NE,1698535092
264,ancud,-41.8697,-73.8203,280.73,79,80,11.24,CL,1698535094
265,saldanha,-33.0117,17.9442,285.18,65,0,8.79,ZA,1698535096
266,puerto san jose,13.9256,-90.8244,300.59,81,30,6.56,GT,1698535098
267,trairi,-3.2778,-39.2689,299.43,78,21,6.55,BR,1698534834
268,suva,-18.1416,178.4415,301.86,65,75,6.17,FJ,1698535105
269,visakhapatnam,17.69,83.2093,297.24,83,86,2.05,IN,1698535107
270,ghat,24.9647,10.1728,299.75,20,22,1.55,LY,1698535109
271,ust'-ilimsk,58.0006,102.6619,269.51,56,100,5.36,RU,1698535111
272,viedma,-40.8135,-62.9967,295.57,20,100,10.64,AR,1698535113
273,saarijarvi,62.7049,25.254,267.68,87,68,1.36,FI,1698535115
274,oranjemund,-28.55,16.4333,287.87,76,0,7.68,NA,1698535118
275,yanam,16.7333,82.2167,299.51,75,98,1.92,IN,1698535120
276,port saint john's,-31.6229,29.5448,287.89,88,100,8.75,ZA,1698535122
277,karaidel',55.8337,56.9069,272.65,91,100,4.89,RU,1698535126
278,amga,60.8953,131.9608,265.88,90,100,1.92,RU,1698535128
279,nova mayachka,46.6,33.2271,286.05,58,15,2.4,UA,1698535130
280,mancio lima,-7.6142,-72.8958,299.19,94,100,3.09,BR,1698535133
281,hirara,24.8,125.2833,297.3,64,20,3.09,JP,1698535135
282,muzaffarpur,26.1167,85.4,294.23,64,23,0.91,IN,1698534917
283,nova sintra,14.8667,-24.7167,296.67,76,37,7.65,CV,1698535139
284,sinop,41.7711,34.8709,288.97,66,4,2.24,TR,1698535141
285,jardim,-21.4803,-56.1381,304.05,46,91,3.04,BR,1698535143
286,tual,-5.6667,132.75,300.39,80,96,3.97,ID,1698535145
287,kudahuvadhoo,2.6708,72.8944,300.39,80,100,6.25,MV,1698535148
288,grand gaube,-20.0064,57.6608,296.14,78,5,0.89,MU,1698535150
289,ballina,-28.8667,153.5667,291.52,62,95,1.34,AU,1698535152
290,kunigal,13.0222,77.0267,294.07,87,60,1.58,IN,1698535154
